Context,First Seen,sha256,Cert Issuer,Serial Number,Thumbprint,Valid From,Valid To
Suspected FIN7 NSM RAT,2024-06-28 17:24,5b04d7fee45d12dd86decd6b8ee075e95b3f1d7d689df824df0bffdcf9c0b6c8,SSL.com Code Signing Intermediate CA RSA R1,465CED3B7CCC4501558680ECA61BBB9E,49CDFC26AE060028F5FEC00E18DC52540470A328,2024-06-27 15:15,2025-06-27 15:15
Suspected FIN7 NSM RAT,2024-05-28 15:00,524bfdb6922acdb543165762769df5bc7f6871751769c8923b213c3ac7ebd9ca,Entrust Extended Validation Code Signing CA - EVCS2,7010DF2D3C8A608E6CF69B79C7AD074E,27C2E54C69BCD81490999F1FC5E8DA18D2C1192B,2024-04-16 15:24,2025-04-16 15:24
Suspected FIN7 NSM RAT,2024-08-07 17:16,cb517c016416fc55bd64a82fe1d9c5d5e05e227fa6a6878d2ec98903e1bc9ecb,SSL.com Code Signing Intermediate CA RSA R1,316BB5E6D2D5FF1F4C2C60028E1CEC08,129C2424E2CF3CAB9F1195D0EB90337C5187C5EA,2024-08-06 11:41,2025-08-06 11:41
Suspected FIN7 NSM RAT,2024-08-28 16:01,9fa68287729336e8d77a29ce1a9c71ff47e8ad54e4627623ca6ec581f3285146,Certum Extended Validation Code Signing 2021 CA,06B6D93159708182E93C6EA793F5EA1F,4761A2225BC36B9CDDA3B26553DCEA94C79AC150,2024-08-22 14:16,2025-08-22 14:16
Suspected FIN7 NSM RAT,2024-06-08 19:41,ab1e644201b5b72b588210769a3065a8244729d4ad33815551a09131a12b3ab5,Certum Extended Validation Code Signing 2021 CA,22CD8B39C5186E4CA6217F6F0EF06933,432BBA0314FF92DC5E3988CBD46D50D2533F61C2,2024-05-31 6:49,2025-05-31 6:49
Suspected FIN7 NSM RAT,2024-07-02 16:16,341b7c4f0a76487e345ed2e79e29c3c1043f5ca77e0a2008928fc8d7bf51cd18,SSL.com Code Signing Intermediate CA RSA R1,46EBF14BF2B2F88F2EE3372CB0F6AA9E,88F53BCA3C84A4184D2C79A7ADEFA552048843D1,2024-07-01 15:17,2025-07-01 15:17
Suspected FIN7 NSM RAT,2024-07-30 21:14,e70ae269c2ce3d77bb5b5494bd64be7154d542ab84948fed6c68addae735bbf4,SSL.com Code Signing Intermediate CA RSA R1,3487F6776C8B2565336755E086868AB1,81F223057B0FBB6DAF6FC1C2BE8315E603E9ECA8,2024-07-16 18:25,2025-07-15 18:25
Suspected FIN7 NSM RAT,2024-09-20 15:59,5436d1607e673ed60dc18778c8bebdb6a6d6091cb67668f93732546b745ec08b,Certum Code Signing 2021 CA,721A46AC53182005B04CFFC2E743EB66,1473005A61848671CEF1C8776C6C989EDD776D55,2024-09-05 13:27,2025-09-05 13:27
Suspected FIN7 NSM RAT,2023-12-21 20:36,b7bd2a1969234d77ce7bdab808d77243e31899412e918c269b9f1b6748434be1,GlobalSign GCC R45 EV CodeSigning CA 2020,2FDB811D0B45ECBB4725623C,22164A50E1447B7B7B04A7B02087BB2035D9651D,2023-12-06 15:43,2024-12-06 15:43
Suspected FIN7 NSM RAT,2024-07-31 13:20,e16ef57ddac8cf1ab3b4b20e1915bd0790eb049aabff91f4576c883246914de4,SSL.com Code Signing Intermediate CA RSA R1,66F965DEE2E387D6B5233CF39DFDE75F,2894E68AA4B8AF304F6877D39A218214B458D71C,2024-07-18 14:34,2025-07-18 14:34
Suspected FIN7 NSM RAT,2024-08-12 13:13,8f700d6ac2bc4e939e959b14b42c637a516c78d16fdbd3605c83872254a1065e,SSL.com Code Signing Intermediate CA RSA R1,4F0E9913D60904BC7917AE8CBFA11DF6,4D9276AA8BA55CCDE5ABD449D6AE4CE025EB84D7,2024-08-08 2:25,2025-08-07 2:25
Suspected FIN7 NSM RAT,2024-06-12 22:51,7f6bd2fb62b7d513213a4ea7e6da2750506600c60c1b42b32c75502906d428e4,Certum Extended Validation Code Signing 2021 CA,56E7441971712C25563CA0202DF64313,DCA3C823A7E4E4591DE17640A96803F6E496A3FF,2024-06-06 6:32,2025-06-06 6:32
Suspected FIN7 NSM RAT,2024-11-08 15:36,bae3c4cfcb9525a6b024d0f69c34d040133474fa3f8dd9007179828e234708fa,Certum Code Signing 2021 CA,5D0F5A3545E7F903EA79DB0E57235288,4919C99F5826B6E47218B2F59CEBBE6A1CF0E898,2024-10-11 9:16,2025-10-11 9:16
Suspected FIN7 NSM RAT,2024-07-29 14:36,6d7fddff5b509fdd5372caa740e2227a8b0be2db1a7e9a59e16873ffc4f351e4,SSL.com Code Signing Intermediate CA RSA R1,36C5DB58902613F6221E388B95DCF8A4,8CBA06BD53411043CB7DF4F6ACFE7856D9440815,2024-07-17 17:01,2025-07-17 17:01
Suspected FIN7 NSM RAT,2024-07-11 18:16,0fe151a3925e90f87ca716372a8eb7b4195dcfa7e64591a350ad6655ca36446d,SSL.com Code Signing Intermediate CA RSA R1,627BC57981E18D8EC4DD9D1AA500A8CA,152B35C0C7ABC1AEBCB211753BA0D49446D3E34E,2024-07-03 16:50,2025-07-03 16:50
Suspected FIN7 NSM RAT,2024-04-27 20:48,bd71ab909ad6fa9c57c00d0d31c721d55983da819b9c09da78f91a0658df9b41,SSL.com EV Code Signing Intermediate CA RSA R3,0C7C3D057E97CA0CB7A00DA10EF2F477,5FF0B85D1650C4CD4BBF44134F846DFCFB12B769,2024-01-26 17:32,2025-01-25 17:32
Suspected FIN7 NSM RAT,2024-07-10 14:22,4e25b7cc56cbf7a5670d696f9833a794885b6698e4d9b002957ea09645af763d,SSL.com Code Signing Intermediate CA RSA R1,15D82B35761FE064DF2BC72C62D69A04,B9C03DF2C57C398DA548FCC57F7B46E6BA8E2780,2024-07-03 4:04,2025-07-03 4:04
Suspected FIN7 NSM RAT,2024-06-21 14:30,0ec34875eaef4719aaea86ca037cb6fe89f897a1cbbdd01013e71637fa7e89e1,Certum Extended Validation Code Signing 2021 CA,1B4174AA6AAF8921F344AAB138FF7F33,E823FD216198C8647D78D83E9947918B68B0D27A,2024-06-17 8:24,2025-06-17 8:24
Suspected FIN7 NSM RAT,2024-10-29 1:32,b1c9d857b8c56f6c1cf164e0a521e96ec1f48ddb818f6172b66223ad42829299,SSL.com Code Signing Intermediate CA RSA R1,6033E9E272BCA9961C424D5AF7258E62,2ED62904790ED79AFB7AD84D5E9406D65F433C96,2024-09-05 11:54,2025-09-04 11:54
Suspected FIN7 NSM RAT,2024-08-15 14:54,36ddf45c5d3b0bd830107dd4b31742372e31b81db79b757c2357049bf37de9a9,SSL.com Code Signing Intermediate CA RSA R1,27CD9AAFD8A9E3C32C365F75DF24C59F,9F1A0A1F31FEEE993F5B3ECBB9FE5EE536B85594,2024-08-13 18:19,2025-08-13 18:19
Suspected FIN7 NSM RAT,2024-07-03 17:38,a8b56d92607550947e223d22e0baba8a05c8a3f1c9efe6db30c2a54bc6dec3ff,SSL.com Code Signing Intermediate CA RSA R1,5258128CB8E2C4816C2F9F13BAF422D7,2DDDE1128529FA31F6B7E6D817DB09667BF3E803,2024-07-02 10:42,2025-07-02 10:42
Suspected FIN7 NSM RAT,2024-09-06 15:03,dd004507cf28c1a965b6475afa071e0aad2644056a84e173ce74b73cbcc8facb,Certum Code Signing 2021 CA,0445579500D62BABFC28FD8CAA4F305D,57F629EDE7002C2BEA1AF8B60062C303FA12F957,2024-09-05 5:57,2025-09-05 5:57
Suspected FIN7 NSM RAT,2024-07-25 16:48,58c12cdf6fd101f2aec69cac01147393f7132de474920aa0cf2a4b95689bc5b7,GlobalSign GCC R45 EV CodeSigning CA 2020,5D3422FD4AFCF7D012D60C25,DC656AF416A78304F08264E379DA8AB1DF6C4432,2024-01-22 15:43,2025-01-22 15:43
Suspected FIN7 NSM RAT,2024-07-15 13:50,c241d88e64697f8a7e4a80b10677952bf6df072465e3a75ad5295d010cb5f4d2,SSL.com Code Signing Intermediate CA RSA R1,57E43478EAD985E2C781F377BF551614,BC89457220753CA347D15E24C328D24A5886AF13,2024-07-14 15:38,2025-07-14 15:38
FakeBat,2024-10-03 11:36,511e21b8c183fee710862aa39fe11cd87d632377b123b0ecba4e979100237f42,SSL.com Code Signing Intermediate CA RSA R1,43BD8D6AA3FECB65766396C09E9EEDEA,ED892EDC5950D96116F97900995B1CEE43A12598,2024-06-01 15:02,2025-06-01 15:02
FakeBat,2024-06-05 17:08,d0db968846f45699ee000f88f208b290be4ce116126164c3644dd413859b08fd,SSL.com Code Signing Intermediate CA RSA R1,6CD23039DFDA4B9363F3666113C2CBC8,ED6EBDA8E7450F2F6C5181FA27EA5A7865080696,2024-05-17 20:48,2025-05-17 20:48
FakeBat,2024-06-04 16:50,89756b6cff919b03e88c1251a46d132723a79866227785a835d7e67ad4123032,SSL.com Code Signing Intermediate CA RSA R1,7DBC9D5DE3181ADE787B91C1F6E57E48,3DF175D0E8E90DA439BA0D6B790FF41C787AEAFC,2024-05-17 15:45,2025-05-17 15:45
FakeBat,2024-06-04 16:24,068e030b5144e2e3ec7d6531dc852a20396f9bea66bf0636ac9b9b8406c518a0,SSL.com Code Signing Intermediate CA RSA R1,465DC834C3185EF4F0ECF74031134D21,30ECFA55AFA1BE2A3F67B13F16BE98A9C8C86879,2024-05-17 11:14,2025-05-17 11:14
FakeBat,2024-06-05 17:09,1af98d338a6193914a73a656797d05803b968cee3048176a30abe5b77b1b2362,SSL.com Code Signing Intermediate CA RSA R1,6F243A754279474D61BC06CA813DC62F,1DD356A251076D5F1AFEC33531A00F659A025037,2024-05-30 14:31,2025-05-30 14:31
FakeBat,2024-06-05 17:10,d4c9ee556fda527e59a0431bfa7f4324318ca384001fa0856635c39bae337431,SSL.com Code Signing Intermediate CA RSA R1,47EC895C33BBE4A80A3EB1BCBBF6128B,C78EC5CF3C77D1432911A72D9CD017139BF4BA47,2024-05-17 20:55,2025-05-17 20:55
FakeBat,2024-06-05 17:12,43cc21310beb59713919f022c2e04bb3818de06f069afc24abad47424d1c0b85,SSL.com Code Signing Intermediate CA RSA R1,03FC0BBCD0A7F34E9FD5A4DBCCF9C7F5,B4F05F1D350989E65666340113F7001C94BD11E9,2024-05-30 15:09,2025-05-30 15:09
FakeBat,2024-06-04 16:52,b9cfc08d3e1d8eae9ba814107b196a55c842d43fa27031278e7463ef05d0aef1,SSL.com Code Signing Intermediate CA RSA R1,4AB8356851C98B0F4EE96B813A738AD1,F9EF8652D7AAB03E9FBD929CE8C961A200F91662,2024-05-17 18:23,2025-05-17 18:23
FakeBat,2024-06-05 17:09,ef5870488f255bf29b3c25cfa010e543119f2cf417eed6ada09d7e40b69dd52e,SSL.com Code Signing Intermediate CA RSA R1,7F499BDE31B8E09D7A7395BC8335DCC3,DA677B43EA753A482835C11337DE2F223CE16C18,2024-05-17 19:26,2025-05-17 19:26
FakeBat,2024-04-24 19:34,6ba4231e13c7ca51dbf672e477e633f83ba59e1392b9755c301c14abe35cdf61,SSL.com Code Signing Intermediate CA RSA R1,5556D68E17AD6356D0B6DBEFC087FDE2,F721E4E6A432929134F137AF2727CFA76FDC6826,2024-01-26 10:04,2025-01-25 10:04
